CityName,CityID
hangzhou,14
shanghai,2
chengdu,104
xiamen,21
taibei,360
xianggang,38
beijing,1
suzhou,672
nanjing,2672
lijiang,32
chongqing,158
wuhan,145
kunming,29
guangzhou,152
tianjin,154
shenzhen,26
aomen,39
wuxi,2025261
dalibaizuzizhizhou,31
dalian,4
changsha,148
ningbo,83
shenyang,155
guilin,28
xian,7
xishuangbanna,30
haerbin,151
zhangjiajie,23
lasa,36
gaoxiong,756
sanya,61
yangzhou,12
qingdao,5
hualian,1366
xianggelila,106
fenghuang,988
beihai,140
shaoxing,18
nanning,166
guiyang,2820
abazangzuqiangzuzizhizhou,744
fuzhou,875
xining,237
yangshuo,702
xiangxitujiazumiaozuzizhizhou,496
qinhuangdao,132
changchun,216
jiuzhaigou,25
weihai,169
jinan,128
zhuhai,27
emeishan,24
haikou,37
wuyishan,22
zhoushan,479
taiyuan,167
zhengzhou,157
yinchuan,239
jiaxing,272
leshan,103
pingyao,365
huangshan,120061
yantai,170
chengde,135
wulumuqi,117
daocheng,342
changzhou,206
linzhi,126
luoyang,198
tongxiang,220
lanzhou,231
kaifeng,165
lianyungang,238
pingdong,1364
rikaze,100
tainan,757
hulunbeier,458
nantou,759
tengchong,696
taizhong,1369
dunhuang,8
shijiazhuang,199
jiashan,1019
wenzhou,153
quanzhou,3040
shangrao,547
jingdezhen,405
diqing,120009
wuyuan,1446324
dujiangyan,911
kangding,344
huzhou,68
nanchang,175
mudanjiang,264
ganzizangzuzizhizhou,754
datong,1446304
xinbei,2063
taian,1446023
foshan,207
jinhua,219
gannan,426
anji,686
taidong,760
huhehaote,156
kunshan,77
yichang,313
ali,99
huizhou,213
shengsi,82
hefei,196
jiayishi,758
qiandongnan,2375
mohe,983
jinzhong,639
jiayuguan,284
dongguan,212
manzhouli,319
zhaoqing,269
zhenjiang,13
yanbian,3139
lishui,441
rizhao,622
jiujiang,877
zhangzhou,334
dandong,315
huludao,345
jiuquan,282
yilan,1445981
dayi,3130
zhangye,283
taizhou,494
yichun,498
shaoguan,222
xuzhou,230
shennongjia,147
jilinshi,267
baoding,459
nantong,85
baoshan,420
zhongshan,3070
qingyuan,2130
seda,120478
shantou,215
aleitaidiqu,427
yili,115
xianyang,632
yixian,1446021
yanan,423
chunan,2249
qingyang,834
xinzhou,783
hailin,2240
chifeng,483
changdou,559
danba,704
xianning,861
anshun,518
jinghong,2154
daxinganling,396
chizhou,825
baoji,422
zhangjiakou,497
xichang,592
weinan,908
changshu,101
jiaozuo,663
songpan,606
weifang,226
haixi,120012
yibin,278
liyang,598
nanping,827
linyi,1446099
liuzhou,143
jiangmen,362
shiyan,464
wuhu,457
longyan,366
zhenyuan,1446185
chaozhou,467
linfen,318
honghe,512
zhanjiang,202
zhanghua,3180
jining,658
dongyang,608
mianyang,915
hengshan,277
litang,3150
buerjin,1010
qiannan,2374
tulufan,35
hengyang,864
libo,659
yixing,227
leishan,2345
liangshan,2899
kaili,491
ganzhou,473
zunyi,204
kashidiqu,124
yangjiang,363
hanzhong,486
jian,2467
shannan,339
ningde,490
enshitujiazumiaozuzizhizhou,487
deqing,120097
yueyang,287
yueqing,1022
huayin,476
xiangshan,723
tonglu,688
qufu,129
ruoergai,3165
jinggangshan,171
dege,3140
nanyang,591
anqing,179
huidong,1446243
baotou,347
baiyu,120485
wenshanzhuangzumiaozuzizhizhou,511
haibei,120014
xuancheng,504
meizhou,523
nanchong,782
putian,317
luding,2059
dengfeng,1014
tangshan,200
heyuan,350
zaozhuang,656
yaan,917
chenzhou,336
zhongwei,1184
qujing,509
huaian,1446040
sansha,120101
jinchuan,3125
quzhou,1446045
rongcheng,2551
zibo,536
yajiang,3137
benxi,463
xiangyang,414
qionghai,843
keshenketengqi,2971
danjiangkou,1018
eerduosi,600
batang,3102
yuxi,477
wanning,846
yancheng,493
qiqihaer,395
xilinguoleimeng,484
tianshui,285
qianxinan,1428
daqing,531
luoping,676
xinxiang,474
yongjia,785
sanming,620
jinzhou,2536
guangyuan,593
handan,495
xinyang,448
yuncheng,2898
luan,502
daofu,1446234
ninghai,689
yiwu,2505
jincheng,665
luhuo,1446223
tongren,895
yuyao,98
xiahe,2792
alashan,1193
chuzhou,228
longsheng,1445120
langfang,582
heihe,265
yulin,141
lingshui,1509
baishan,871
shangzhi,853
anyang,412
bayinguoleng,2512
wenchuan,3101
xiangtan,1417
jilong,120374
taishun,625
motuo,120397
xiuwu,2267
hezhou,707
xinganmeng,886
changjihuizuzizhizhou,923
aershan,120084
shexian,2560
weichang,2584
ankang,545
langzhong,831
bijie,521
mile,1342
longmen,2949
luqu,2799
changde,417
jinmen,1368
baise,524
zhuzhou,1174
wuchang,2237
xingyi,519
huaihua,655
dangxiong,2443
taoyuan,991
yingtan,186
kelamayi,428
yingkou,692
dehong,526
chongzuo,837
wuyi,1446064
suichang,1431
yanji,475
ruili,1213
jingzhou,2832
ejinaqi,2973
xingcheng,1399
liping,1346
shilin,271
anshan,229
luzhou,604
jiangyin,235
guixi,1189
eerguna,2026
puer,928
huangyuan,2643
lixian,1446061
cixi,543
zhangzhi,901
haining,86
deyang,462
yuanyang,2294
wuzhou,142
fufeng,1880
shuozhou,903
linhai,544
zhangjiagang,203
fuliang,2420
zhuji,690
huanggang,859
luanchuan,1930
xianju,691
hainanzangzuzizhizhou,120074
chuxiongyizuzizhizhou,510
wudalianchi,857
bama,3041
taicang,255
taishan,673
panjin,602
langqiazi,2438
liaocheng,635
cangzhou,540
antu,643
xingtai,460
chishui,1770
xinzhu,1197
xuchang,465
gongbujiangda,120396
shangqiu,849
liupanshui,679
pingdingshan,810
dezhou,603
bazhong,703
suqian,492
jixi,852
wenchang,1007
shaoshan,346
pingxiang,1446062
qianxian,2742
akesudiqu,920
maoxian,3164
qianshan,1016
ruian,535
bozhou,404
geermu,332
maanshan,503
huanglong,905
bengbu,205
jieyang,835
yongzhou,869
zhengding,2581
pingtan,2652
jiamusi,501
panzhihua,786
qionglai,1403
hongyuan,3099
zigong,575
sanmenxia,522
yingde,962
hami,567
sanjiang,975
dongying,612
jinyun,1021
jiexiu,2982
huangshi,710
boluo,954
yuxian,3022
jiande,687
hezuo,2784
dingri,2450
maoming,615
cangnan,2049
lanxi,2245
chaohu,187
jiangzi,2437
kuerlei,429
dazhou,910
fangchenggang,698
baoting,1009
hechi,838
fushun,3152
liaoyang,881
heze,708
xinchang,75
nujiang,681
lvliang,902
kaiping,525
jinjiang,675
shanwei,624
xinghua,1946
guangan,693
deqin,2178
enping,623
jishou,865
qingzhou,898
tongliao,885
delingha,891
hukou,2386
shizuishan,889
nanxiong,2921
fuyang,361
boertala,2513
meishan,914
huangnan,120042
jianchuan,2215
tonghua,874
yushuzangzuzizhizhou,896
taining,2678
xiapu,1154
pingshan,1446238
yongtai,2665
binchuan,2157
shaoyang,867
jimusaer,2498
pinghu,533
liuyang,1337
jinzhai,2623
rushan,2046
wuwei,2618
jurong,817
hetiandiqu,557
zhumadian,642
shangluo,906
suining,2853
fugang,2935
changxing,1832
zhaoyang,1104
changli,1835
ruijin,1159
yunlong,2203
yunhe,2251
yishui,2035
shihezi,1168
pengzhou,1747
fuding,613
qidong,2849
naqu,919
huailai,2527
liancheng,609
beichuan,1934
zhoukou,709
pingliang,424
nanao,958
dongfang,842
meixian,2776
penghu,1367
